number_of_components 835
Node_name	sat_assign.	component_no.
UBL4A	1	1
UBL7	1	779
UBQLN1	1	780
UBQLN4	1	640
UBR1	1	45
UBR4	0	254
UBR5	0	254
UBTD1	1	781
UBTF	1	708
UCHL5	1	764
UCP2	1	782
UCP3	1	783
UEVLD	1	784
UGP2	1	785
UHRF1	0	79
UIMC1	1	79
UNC119	1	786
UNC13B	1	676
UNC93B1	1	787
UQCRC1	1	31
USE1	1	788
USHBP1	1	763
USP1	1	789
USP11	1	79
USP12	1	790
USP13	1	791
USP14	1	792
USP2	0	405
USP20	1	568
USP21	1	793
USP22	1	794
USP25	1	795
USP3	1	796
USP33	1	797
USP36	0	218
USP39	1	798
USP4	0	745
USP42	1	799
USP45	1	800
USP46	0	22
USP5	1	801
USP7	1	15
USP9X	1	802
UTP18	1	803
VAMP2	0	697
VAPA	1	804
VAT1	1	805
VAV2	1	806
VCP	1	807
VDAC1	1	808
VDR	0	406
VHL	1	319
VPS4A	1	139
WAPAL	0	36
WAS	0	15
WASF1	1	197
WASH1	1	809
WDHD1	1	445
WDR20	1	474
WDR26	1	810
WDR33	1	289
WDR44	1	811
WDR5	1	812
WDR73	1	813
WDR74	1	814
WDR77	1	47
WDTC1	1	815
WHSC1L1	1	816
WIPF1	1	817
WIPF2	1	818
WIPI2	0	468
WWOX	0	15
XAB2	0	1
XIAP	0	23
XPO6	1	819
XPO7	1	820
XPOT	1	821
XRCC4	1	822
XRCC5	1	823
YBX1	1	1
YIPF3	1	21
YLPM1	1	824
YOD1	1	825
YWHAB	0	15
YWHAE	1	117
YWHAG	0	15
YWHAQ	1	401
YWHAZ	1	826
YY1	1	827
ZAK	1	828
ZBED1	1	1
ZBTB16	1	512
ZBTB9	1	829
ZC3H11A	1	426
ZC3H13	1	419
ZC3H15	1	830
ZFP36L1	1	831
ZFP64	1	832
ZMYM2	1	833
ZMYND8	1	15
ZNF281	0	2
ZNF346	1	218
ZNF407	1	834
ZNF426	0	98
ZNF513	0	832
ZNF638	1	835
ZNRF1	1	23
